,font,category,isin_laten,data_type
542,MPLUS2[wght],SANS_SERIF,True,train
543,Artifika-Regular,SERIF,True,train
544,Ramaraja-Regular,SERIF,True,train
545,Moulpali-Regular,DISPLAY,True,train
546,NotoSansJP[wght],SANS_SERIF,True,train
547,NosiferCaps-Regular,DISPLAY,True,train
548,Eater-Regular,DISPLAY,True,train
549,RubikMonoOne-Regular,SANS_SERIF,True,train
550,Chathura-Light,SANS_SERIF,True,train
551,Chathura-ExtraBold,SANS_SERIF,True,train
552,Chathura-Thin,SANS_SERIF,True,train
553,Chathura-Regular,SANS_SERIF,True,train
554,Chathura-Bold,SANS_SERIF,True,train
555,Pecita,HANDWRITING,True,train
556,FanwoodText-Italic,SERIF,True,train
557,FanwoodText-Regular,SERIF,True,train
558,CarroisGothicSC-Regular,SANS_SERIF,True,train
559,PostNoBillsJaffna-ExtraBold,DISPLAY,True,train
560,PostNoBillsJaffna-Regular,DISPLAY,True,train
561,PostNoBillsJaffna-Bold,DISPLAY,True,train
562,PostNoBillsJaffna-Light,DISPLAY,True,train
563,PostNoBillsJaffna-Medium,DISPLAY,True,train
564,PostNoBillsJaffna-SemiBold,DISPLAY,True,train
565,Bellefair-Regular,SERIF,True,train
566,TheGirlNextDoor,HANDWRITING,True,train
567,Molengo-Regular,SANS_SERIF,True,train
568,Yantramanav-Thin,SANS_SERIF,True,train
569,Yantramanav-Bold,SANS_SERIF,True,train
570,Yantramanav-Black,SANS_SERIF,True,train
571,Yantramanav-Medium,SANS_SERIF,True,train
572,Yantramanav-Regular,SANS_SERIF,True,train
573,Yantramanav-Light,SANS_SERIF,True,train
574,Lemon-Regular,DISPLAY,True,train
575,ButterflyKids-Regular,HANDWRITING,True,train
576,LibreBarcode128Text-Regular,DISPLAY,True,train
577,Kadwa-Regular,SERIF,True,train
578,Kadwa-Bold,SERIF,True,train
579,NovaScript-Regular,DISPLAY,True,train
580,Chonburi-Regular,DISPLAY,True,train
581,OdibeeSans-Regular,DISPLAY,True,train
582,"MPLUSCodeLatin[wdth,wght]",SANS_SERIF,True,train
583,TenaliRamakrishna-Regular,SANS_SERIF,True,train
584,YujiBoku-Regular,SERIF,True,train
585,HindColombo-SemiBold,SANS_SERIF,True,train
586,HindColombo-Bold,SANS_SERIF,True,train
587,HindColombo-Medium,SANS_SERIF,True,train
588,HindColombo-Regular,SANS_SERIF,True,train
589,HindColombo-Light,SANS_SERIF,True,train
590,RacingSansOne-Regular,DISPLAY,True,train
591,AlegreyaSansSC-Italic,SANS_SERIF,True,train
592,AlegreyaSansSC-LightItalic,SANS_SERIF,True,train
593,AlegreyaSansSC-Black,SANS_SERIF,True,train
594,AlegreyaSansSC-ExtraBold,SANS_SERIF,True,train
595,AlegreyaSansSC-BoldItalic,SANS_SERIF,True,train
596,AlegreyaSansSC-MediumItalic,SANS_SERIF,True,train
597,AlegreyaSansSC-Thin,SANS_SERIF,True,train
598,AlegreyaSansSC-Regular,SANS_SERIF,True,train
599,AlegreyaSansSC-Light,SANS_SERIF,True,train
600,AlegreyaSansSC-ThinItalic,SANS_SERIF,True,train
601,AlegreyaSansSC-BlackItalic,SANS_SERIF,True,train
602,AlegreyaSansSC-Medium,SANS_SERIF,True,train
603,AlegreyaSansSC-Bold,SANS_SERIF,True,train
604,AlegreyaSansSC-ExtraBoldItalic,SANS_SERIF,True,train
605,Explora-Regular,HANDWRITING,True,train
606,Caveat[wght],HANDWRITING,True,train
607,"RobotoFlex[GRAD,XOPQ,XTRA,YOPQ,YTAS,YTDE,YTFI,YTLC,YTUC,opsz,slnt,wdth,wght]",SANS_SERIF,True,train
608,Englebert-Regular,SANS_SERIF,True,train
609,Ranga-Regular,DISPLAY,True,train
610,Ranga-Bold,DISPLAY,True,train
611,Scada-Italic,SANS_SERIF,True,train
612,Scada-Regular,SANS_SERIF,True,train
613,Scada-BoldItalic,SANS_SERIF,True,train
614,Scada-Bold,SANS_SERIF,True,train
615,ChelseaMarket-Regular,DISPLAY,True,train
616,Flamenco-Light,DISPLAY,True,train
617,Flamenco-Regular,DISPLAY,True,train
618,ContrailOne-Regular,DISPLAY,True,train
619,Economica-Italic,SANS_SERIF,True,train
620,Economica-BoldItalic,SANS_SERIF,True,train
621,Economica-Regular,SANS_SERIF,True,train
622,Economica-Bold,SANS_SERIF,True,train
623,AlegreyaSans-Light,SANS_SERIF,True,train
624,AlegreyaSans-ExtraBold,SANS_SERIF,True,train
625,AlegreyaSans-Thin,SANS_SERIF,True,train
626,AlegreyaSans-LightItalic,SANS_SERIF,True,train
627,AlegreyaSans-BoldItalic,SANS_SERIF,True,train
628,AlegreyaSans-MediumItalic,SANS_SERIF,True,train
629,AlegreyaSans-Italic,SANS_SERIF,True,train
630,AlegreyaSans-BlackItalic,SANS_SERIF,True,train
631,AlegreyaSans-Bold,SANS_SERIF,True,train
632,AlegreyaSans-Black,SANS_SERIF,True,train
633,AlegreyaSans-ExtraBoldItalic,SANS_SERIF,True,train
634,AlegreyaSans-Regular,SANS_SERIF,True,train
635,AlegreyaSans-ThinItalic,SANS_SERIF,True,train
636,AlegreyaSans-Medium,SANS_SERIF,True,train
637,Karantina-Regular,DISPLAY,True,train
638,Karantina-Light,DISPLAY,True,train
639,Karantina-Bold,DISPLAY,True,train
640,Megrim,DISPLAY,True,train
641,BalooDa2[wght],DISPLAY,True,train
642,NotoSansKR[wght],SANS_SERIF,True,train
643,BigShouldersDisplay[wght],DISPLAY,True,train
644,MarkoOne-Regular,SERIF,True,train
645,LexendGiga[wght],SANS_SERIF,True,train
646,Margarine-Regular,DISPLAY,True,train
647,PT_Serif-Web-Bold,SERIF,True,train
648,PT_Serif-Web-Italic,SERIF,True,train
649,PT_Serif-Web-BoldItalic,SERIF,True,train
650,PT_Serif-Web-Regular,SERIF,True,train
651,Share-BoldItalic,DISPLAY,True,train
652,Share-Bold,DISPLAY,True,train
653,Share-Regular,DISPLAY,True,train
654,Share-Italic,DISPLAY,True,train
655,SecularOne-Regular,SANS_SERIF,True,train
656,BalooChettan2[wght],DISPLAY,True,train
657,IMFeENsc28P,SERIF,True,train
658,Dynalight-Regular,DISPLAY,True,train
659,HachiMaruPop-Regular,HANDWRITING,True,train
660,ZhiMangXing-Regular,HANDWRITING,True,train
661,ShipporiMinchoB1-Medium,SERIF,True,train
662,ShipporiMinchoB1-Regular,SERIF,True,train
663,ShipporiMinchoB1-ExtraBold,SERIF,True,train
664,ShipporiMinchoB1-SemiBold,SERIF,True,train
665,ShipporiMinchoB1-Bold,SERIF,True,train
666,Palanquin-Regular,SANS_SERIF,True,train
667,Palanquin-SemiBold,SANS_SERIF,True,train
668,Palanquin-Thin,SANS_SERIF,True,train
669,Palanquin-Bold,SANS_SERIF,True,train
670,Palanquin-Light,SANS_SERIF,True,train
671,Palanquin-Medium,SANS_SERIF,True,train
672,Palanquin-ExtraLight,SANS_SERIF,True,train
673,"Imbue[opsz,wght]",SERIF,True,train
674,IMFeDPsc28P,SERIF,True,train
675,Bayon-Regular,SANS_SERIF,True,train
676,Quattrocento-Bold,SERIF,True,train
677,Quattrocento-Regular,SERIF,True,train
678,"Piazzolla[opsz,wght]",SERIF,True,train
679,"Piazzolla-Italic[opsz,wght]",SERIF,True,train
680,KiwiMaru-Medium,SERIF,True,train
681,KiwiMaru-Regular,SERIF,True,train
682,KiwiMaru-Light,SERIF,True,train
683,Cutive-Regular,SERIF,True,train
684,Devonshire-Regular,HANDWRITING,True,train
685,Overpass[wght],SANS_SERIF,True,train
686,Overpass-Italic[wght],SANS_SERIF,True,train
687,ArchivoNarrow-Italic[wght],SANS_SERIF,True,train
688,ArchivoNarrow[wght],SANS_SERIF,True,train
689,Girassol-Regular,DISPLAY,True,train
690,YanoneKaffeesatz[wght],SANS_SERIF,True,train
691,Catamaran[wght],SANS_SERIF,True,train
692,Ruda[wght],SANS_SERIF,True,train
693,Asar-Regular,SERIF,True,train
694,Tillana-Medium,HANDWRITING,True,train
695,Tillana-Regular,HANDWRITING,True,train
696,Tillana-Bold,HANDWRITING,True,train
697,Tillana-ExtraBold,HANDWRITING,True,train
698,Tillana-SemiBold,HANDWRITING,True,train
699,Outfit[wght],SANS_SERIF,True,train
700,Prociono-Regular,SERIF,True,train
701,Solway-ExtraBold,SERIF,True,train
702,Solway-Medium,SERIF,True,train
703,Solway-Light,SERIF,True,train
704,Solway-Bold,SERIF,True,train
705,Solway-Regular,SERIF,True,train
706,TurretRoad-Bold,DISPLAY,True,train
707,TurretRoad-Light,DISPLAY,True,train
708,TurretRoad-Regular,DISPLAY,True,train
709,TurretRoad-Medium,DISPLAY,True,train
710,TurretRoad-ExtraBold,DISPLAY,True,train
711,TurretRoad-ExtraLight,DISPLAY,True,train
712,Poppins-Italic,SANS_SERIF,True,train
713,Poppins-ExtraLight,SANS_SERIF,True,train
714,Poppins-SemiBoldItalic,SANS_SERIF,True,train
715,Poppins-BoldItalic,SANS_SERIF,True,train
716,Poppins-Bold,SANS_SERIF,True,train
717,Poppins-Black,SANS_SERIF,True,train
718,Poppins-ExtraBoldItalic,SANS_SERIF,True,train
719,Poppins-BlackItalic,SANS_SERIF,True,train
720,Poppins-LightItalic,SANS_SERIF,True,train
721,Poppins-Regular,SANS_SERIF,True,train
722,Poppins-Light,SANS_SERIF,True,train
723,Poppins-MediumItalic,SANS_SERIF,True,train
724,Poppins-ExtraLightItalic,SANS_SERIF,True,train
725,Poppins-ThinItalic,SANS_SERIF,True,train
726,Poppins-Thin,SANS_SERIF,True,train
727,Poppins-SemiBold,SANS_SERIF,True,train
728,Poppins-Medium,SANS_SERIF,True,train
729,Poppins-ExtraBold,SANS_SERIF,True,train
730,Unna-Regular,SERIF,True,train
731,Unna-Italic,SERIF,True,train
732,Unna-BoldItalic,SERIF,True,train
733,Unna-Bold,SERIF,True,train
734,Varela-Regular,SANS_SERIF,True,train
735,RibeyeMarrow-Regular,DISPLAY,True,train
736,Copse-Regular,SERIF,True,train
737,Alatsi-Regular,SANS_SERIF,True,train
738,HappyMonkey-Regular,DISPLAY,True,train
739,Butcherman-Regular,DISPLAY,True,train
740,SedanSC-Regular,SERIF,True,train
741,AnticSlab-Regular,SERIF,True,train
742,FingerPaint-Regular,DISPLAY,True,train
743,ArchitectsDaughter-Regular,HANDWRITING,True,train
744,Sarala-Regular,SANS_SERIF,True,train
745,Sarala-Bold,SANS_SERIF,True,train
746,Karla-Italic[wght],SANS_SERIF,True,train
747,Karla[wght],SANS_SERIF,True,train
748,PoetsenOne-Regular,DISPLAY,True,train
749,StardosStencil-Bold,DISPLAY,True,train
750,StardosStencil-Regular,DISPLAY,True,train
751,Frijole-Regular,DISPLAY,True,train
752,EncodeSansSemiCondensed-Regular,SANS_SERIF,True,train
753,EncodeSansSemiCondensed-Thin,SANS_SERIF,True,train
754,EncodeSansSemiCondensed-Black,SANS_SERIF,True,train
755,EncodeSansSemiCondensed-Medium,SANS_SERIF,True,train
756,EncodeSansSemiCondensed-SemiBold,SANS_SERIF,True,train
757,EncodeSansSemiCondensed-ExtraBold,SANS_SERIF,True,train
758,EncodeSansSemiCondensed-Light,SANS_SERIF,True,train
759,EncodeSansSemiCondensed-ExtraLight,SANS_SERIF,True,train
760,EncodeSansSemiCondensed-Bold,SANS_SERIF,True,train
761,ScopeOne-Regular,SERIF,True,train
762,MervaleScript-Regular,HANDWRITING,True,train
763,Biryani-Light,SANS_SERIF,True,train
764,Biryani-Bold,SANS_SERIF,True,train
765,Biryani-ExtraLight,SANS_SERIF,True,train
766,Biryani-SemiBold,SANS_SERIF,True,train
767,Biryani-ExtraBold,SANS_SERIF,True,train
768,Biryani-Regular,SANS_SERIF,True,train
769,Biryani-Black,SANS_SERIF,True,train
770,Estonia-Regular,HANDWRITING,True,train
771,TitilliumWeb-Italic,SANS_SERIF,True,train
772,TitilliumWeb-ExtraLight,SANS_SERIF,True,train
773,TitilliumWeb-SemiBoldItalic,SANS_SERIF,True,train
774,TitilliumWeb-Light,SANS_SERIF,True,train
775,TitilliumWeb-Bold,SANS_SERIF,True,train
776,TitilliumWeb-SemiBold,SANS_SERIF,True,train
777,TitilliumWeb-Regular,SANS_SERIF,True,train
778,TitilliumWeb-BoldItalic,SANS_SERIF,True,train
779,TitilliumWeb-ExtraLightItalic,SANS_SERIF,True,train
780,TitilliumWeb-Black,SANS_SERIF,True,train
781,TitilliumWeb-LightItalic,SANS_SERIF,True,train
782,BarlowSemiCondensed-MediumItalic,SANS_SERIF,True,train
783,BarlowSemiCondensed-BoldItalic,SANS_SERIF,True,train
784,BarlowSemiCondensed-Black,SANS_SERIF,True,train
785,BarlowSemiCondensed-Medium,SANS_SERIF,True,train
786,BarlowSemiCondensed-ExtraLightItalic,SANS_SERIF,True,train
787,BarlowSemiCondensed-Light,SANS_SERIF,True,train
788,BarlowSemiCondensed-Italic,SANS_SERIF,True,train
789,BarlowSemiCondensed-SemiBoldItalic,SANS_SERIF,True,train
790,BarlowSemiCondensed-ThinItalic,SANS_SERIF,True,train
791,BarlowSemiCondensed-Bold,SANS_SERIF,True,train
792,BarlowSemiCondensed-Thin,SANS_SERIF,True,train
793,BarlowSemiCondensed-SemiBold,SANS_SERIF,True,train
794,BarlowSemiCondensed-LightItalic,SANS_SERIF,True,train
795,BarlowSemiCondensed-ExtraBoldItalic,SANS_SERIF,True,train
796,BarlowSemiCondensed-BlackItalic,SANS_SERIF,True,train
797,BarlowSemiCondensed-ExtraLight,SANS_SERIF,True,train
798,BarlowSemiCondensed-Regular,SANS_SERIF,True,train
799,BarlowSemiCondensed-ExtraBold,SANS_SERIF,True,train
800,B612-Bold,SANS_SERIF,True,train
801,B612-Italic,SANS_SERIF,True,train
802,B612-BoldItalic,SANS_SERIF,True,train
803,B612-Regular,SANS_SERIF,True,train
804,Elsie-Regular,DISPLAY,True,train
805,Elsie-Black,DISPLAY,True,train
806,Sansita-ExtraBold,SANS_SERIF,True,train
807,Sansita-Bold,SANS_SERIF,True,train
808,Sansita-Regular,SANS_SERIF,True,train
809,Sansita-ExtraBoldItalic,SANS_SERIF,True,train
810,Sansita-Black,SANS_SERIF,True,train
811,Sansita-BoldItalic,SANS_SERIF,True,train
812,Sansita-Italic,SANS_SERIF,True,train
813,Sansita-BlackItalic,SANS_SERIF,True,train
814,YujiSyuku-Regular,SERIF,True,train
815,SueEllenFrancisco-Regular,HANDWRITING,True,train
816,Bentham-Regular,SERIF,True,train
817,PasseroOne-Regular,DISPLAY,True,train
818,Bahianita-Regular,DISPLAY,True,train
819,Gudea-Italic,SANS_SERIF,True,train
820,Gudea-Regular,SANS_SERIF,True,train
821,Gudea-Bold,SANS_SERIF,True,train
822,MartelSans-Black,SANS_SERIF,True,train
823,MartelSans-ExtraLight,SANS_SERIF,True,train
824,MartelSans-SemiBold,SANS_SERIF,True,train
825,MartelSans-Bold,SANS_SERIF,True,train
826,MartelSans-ExtraBold,SANS_SERIF,True,train
827,MartelSans-Regular,SANS_SERIF,True,train
828,MartelSans-Light,SANS_SERIF,True,train
829,PorterSansBlock-Regular,DISPLAY,True,train
830,KaushanScript-Regular,HANDWRITING,True,train
831,Gurajada-Regular,SERIF,True,train
832,Rufina-Bold,SERIF,True,train
833,Rufina-Regular,SERIF,True,train
834,Questrial-Regular,SANS_SERIF,True,train
835,GreyQo-Regular,HANDWRITING,True,train
836,PetitFormalScript-Regular,HANDWRITING,True,train
837,PalanquinDark-Regular,SANS_SERIF,True,train
838,PalanquinDark-Bold,SANS_SERIF,True,train
839,PalanquinDark-SemiBold,SANS_SERIF,True,train
840,PalanquinDark-Medium,SANS_SERIF,True,train
841,GiveYouGlory,HANDWRITING,True,train
842,Trochut-Bold,DISPLAY,True,train
843,Trochut-Italic,DISPLAY,True,train
844,Trochut-Regular,DISPLAY,True,train
845,Plaster-Regular,DISPLAY,True,train
846,Viga-Regular,SANS_SERIF,True,train
847,Taprom-Regular,DISPLAY,True,train
848,KirangHaerang-Regular,DISPLAY,True,train
849,Geostar-Regular,DISPLAY,True,train
850,Average-Regular,SERIF,True,train
851,SofadiOne-Regular,DISPLAY,True,train
852,Amiko-SemiBold,SANS_SERIF,True,train
853,Amiko-Regular,SANS_SERIF,True,train
854,Amiko-Bold,SANS_SERIF,True,train
855,Akronim-Regular,DISPLAY,True,train
856,Voces-Regular,DISPLAY,True,train
857,Wallpoet-Regular,DISPLAY,True,train
858,Coda-Regular,DISPLAY,True,train
859,Coda-ExtraBold,DISPLAY,True,train
860,IMFeGPrm28P,SERIF,True,train
861,IMFeGPit28P,SERIF,True,train
862,Nobile-MediumItalic,SANS_SERIF,True,train
863,Nobile-BoldItalic,SANS_SERIF,True,train
864,Nobile-Regular,SANS_SERIF,True,train
865,Nobile-Medium,SANS_SERIF,True,train
866,Nobile-Italic,SANS_SERIF,True,train
867,Nobile-Bold,SANS_SERIF,True,train
868,MaShanZheng-Regular,HANDWRITING,True,train
869,ProstoOne-Regular,DISPLAY,True,train
870,AkayaTelivigala-Regular,DISPLAY,True,train
871,Norican-Regular,HANDWRITING,True,train
872,Meddon,HANDWRITING,True,train
873,Cinzel[wght],SERIF,True,train
874,SansitaSwashed[wght],DISPLAY,True,train
875,FiraSansExtraCondensed-ExtraBold,SANS_SERIF,True,train
876,FiraSansExtraCondensed-Medium,SANS_SERIF,True,train
877,FiraSansExtraCondensed-Thin,SANS_SERIF,True,train
878,FiraSansExtraCondensed-MediumItalic,SANS_SERIF,True,train
879,FiraSansExtraCondensed-LightItalic,SANS_SERIF,True,train
880,FiraSansExtraCondensed-Italic,SANS_SERIF,True,train
881,FiraSansExtraCondensed-ExtraBoldItalic,SANS_SERIF,True,train
882,FiraSansExtraCondensed-ThinItalic,SANS_SERIF,True,train
883,FiraSansExtraCondensed-BoldItalic,SANS_SERIF,True,train
884,FiraSansExtraCondensed-Bold,SANS_SERIF,True,train
885,FiraSansExtraCondensed-Regular,SANS_SERIF,True,train
886,FiraSansExtraCondensed-SemiBold,SANS_SERIF,True,train
887,FiraSansExtraCondensed-SemiBoldItalic,SANS_SERIF,True,train
888,FiraSansExtraCondensed-Black,SANS_SERIF,True,train
889,FiraSansExtraCondensed-ExtraLightItalic,SANS_SERIF,True,train
890,FiraSansExtraCondensed-ExtraLight,SANS_SERIF,True,train
891,FiraSansExtraCondensed-Light,SANS_SERIF,True,train
892,FiraSansExtraCondensed-BlackItalic,SANS_SERIF,True,train
893,Metal-Regular,DISPLAY,True,train
894,Qwigley-Regular,HANDWRITING,True,train
895,InriaSans-Regular,SANS_SERIF,True,train
896,InriaSans-Light,SANS_SERIF,True,train
897,InriaSans-LightItalic,SANS_SERIF,True,train
898,InriaSans-BoldItalic,SANS_SERIF,True,train
899,InriaSans-Italic,SANS_SERIF,True,train
900,InriaSans-Bold,SANS_SERIF,True,train
901,Syne[wght],SANS_SERIF,True,train
902,LexendMega[wght],SANS_SERIF,True,train
903,BioRhyme-ExtraBold,SERIF,True,train
904,BioRhyme-Bold,SERIF,True,train
905,BioRhyme-Light,SERIF,True,train
906,BioRhyme-ExtraLight,SERIF,True,train
907,BioRhyme-Regular,SERIF,True,train
908,AlmendraSC-Regular,SERIF,True,train
909,HammersmithOne-Regular,SANS_SERIF,True,train
910,Monda-Regular,SANS_SERIF,True,train
911,Monda-Bold,SANS_SERIF,True,train
912,"Inter[slnt,wght]",SANS_SERIF,True,train
913,Chivo[wght],SANS_SERIF,True,train
914,Chivo-Italic[wght],SANS_SERIF,True,train
915,Hind-SemiBold,SANS_SERIF,True,train
916,Hind-Bold,SANS_SERIF,True,train
917,Hind-Medium,SANS_SERIF,True,train
918,Hind-Light,SANS_SERIF,True,train
919,Hind-Regular,SANS_SERIF,True,train
920,Orienta-Regular,SANS_SERIF,True,train
921,BebasNeue-Regular,DISPLAY,True,train
922,BigshotOne-Regular,DISPLAY,True,train
923,Zeyada,HANDWRITING,True,train
924,IMFeFCrm28P,SERIF,True,train
925,IMFeFCit28P,SERIF,True,train
926,LilitaOne-Regular,DISPLAY,True,train
927,AutourOne-Regular,DISPLAY,True,train
928,Teko-Bold,SANS_SERIF,True,train
929,Teko-Medium,SANS_SERIF,True,train
930,Teko-SemiBold,SANS_SERIF,True,train
931,Teko-Regular,SANS_SERIF,True,train
932,Teko-Light,SANS_SERIF,True,train
933,StintUltraExpanded-Regular,DISPLAY,True,train
934,PaletteMosaic-Regular,DISPLAY,True,train
935,TulpenOne-Regular,DISPLAY,True,train
936,AnticDidone-Regular,SERIF,True,train
937,Enriqueta-Medium,SERIF,True,train
938,Enriqueta-Regular,SERIF,True,train
939,Enriqueta-SemiBold,SERIF,True,train
940,Enriqueta-Bold,SERIF,True,train
941,"OpenSans-Italic[wdth,wght]",SANS_SERIF,True,train
942,"OpenSans[wdth,wght]",SANS_SERIF,True,train
943,Spectral-Bold,SERIF,True,train
944,Spectral-ExtraBoldItalic,SERIF,True,train
945,Spectral-Light,SERIF,True,train
946,Spectral-ExtraLight,SERIF,True,train
947,Spectral-ExtraBold,SERIF,True,train
948,Spectral-SemiBoldItalic,SERIF,True,train
949,Spectral-MediumItalic,SERIF,True,train
950,Spectral-BoldItalic,SERIF,True,train
951,Spectral-Medium,SERIF,True,train
952,Spectral-Regular,SERIF,True,train
953,Spectral-Italic,SERIF,True,train
954,Spectral-SemiBold,SERIF,True,train
955,Spectral-ExtraLightItalic,SERIF,True,train
956,Spectral-LightItalic,SERIF,True,train
957,Lancelot-Regular,DISPLAY,True,train
958,PT_Sans-Caption-Web-Bold,SANS_SERIF,True,train
959,PT_Sans-Caption-Web-Regular,SANS_SERIF,True,train
960,LovedbytheKing,HANDWRITING,True,train
961,HanaleiFill-Regular,DISPLAY,True,train
962,Ovo-Regular,SERIF,True,train
963,Kapakana[wght],HANDWRITING,True,train
964,ConcertOne-Regular,DISPLAY,True,train
965,SpaceGrotesk[wght],SANS_SERIF,True,train
966,Merienda[wght],HANDWRITING,True,train
967,SupermercadoOne-Regular,DISPLAY,True,train
968,Amita-Regular,HANDWRITING,True,train
969,Amita-Bold,HANDWRITING,True,train
970,RussoOne-Regular,SANS_SERIF,True,train
971,MonteCarlo-Regular,HANDWRITING,True,train
972,Gabriela-Regular,SERIF,True,train
973,"Handjet[ELGR,ELSH,wght]",SANS_SERIF,True,train
974,AoboshiOne-Regular,SERIF,True,train
975,Notable-Regular,SANS_SERIF,True,train
976,Kufam[wght],SANS_SERIF,True,train
977,Kufam-Italic[wght],SANS_SERIF,True,train
978,AlumniSans[wght],SANS_SERIF,True,train
979,AlumniSans-Italic[wght],SANS_SERIF,True,train
980,VesperLibre-Medium,SERIF,True,train
981,VesperLibre-Heavy,SERIF,True,train
982,VesperLibre-Bold,SERIF,True,train
983,VesperLibre-Regular,SERIF,True,train
984,MerriweatherSans[wght],SANS_SERIF,True,train
985,MerriweatherSans-Italic[wght],SANS_SERIF,True,train
986,PortLligatSlab-Regular,SERIF,True,train
987,Oi-Regular,DISPLAY,True,train
988,OtomanopeeOne-Regular,SANS_SERIF,True,train
989,Cookie-Regular,HANDWRITING,True,train
990,FaunaOne-Regular,SERIF,True,train
991,BalsamiqSans-Bold,DISPLAY,True,train
992,BalsamiqSans-Italic,DISPLAY,True,train
993,BalsamiqSans-BoldItalic,DISPLAY,True,train
994,BalsamiqSans-Regular,DISPLAY,True,train
995,KronaOne-Regular,SANS_SERIF,True,train
996,MPLUS1[wght],SANS_SERIF,True,train
997,Koulen-Regular,DISPLAY,True,train
998,Strong-Regular,SANS_SERIF,True,train
999,KleeOne-Regular,HANDWRITING,True,train
1000,KleeOne-SemiBold,HANDWRITING,True,train
1001,ReemKufi[wght],SANS_SERIF,True,train
1002,KumbhSans[wght],SANS_SERIF,True,train
1003,Sansation-Italic,SANS_SERIF,True,train
1004,Sansation-Regular,SANS_SERIF,True,train
1005,Sansation-BoldItalic,SANS_SERIF,True,train
1006,Sansation-LightItalic,SANS_SERIF,True,train
1007,Sansation-Light,SANS_SERIF,True,train
1008,Sansation-Bold,SANS_SERIF,True,train
1009,WorkSans[wght],SANS_SERIF,True,train
1010,WorkSans-Italic[wght],SANS_SERIF,True,train
1011,DavidLibre-Bold,SERIF,True,train
1012,DavidLibre-Medium,SERIF,True,train
1013,DavidLibre-Regular,SERIF,True,train
1014,ProzaLibre-BoldItalic,SANS_SERIF,True,train
1015,ProzaLibre-SemiBold,SANS_SERIF,True,train
1016,ProzaLibre-ExtraBoldItalic,SANS_SERIF,True,train
1017,ProzaLibre-Medium,SANS_SERIF,True,train
1018,ProzaLibre-Italic,SANS_SERIF,True,train
1019,ProzaLibre-ExtraBold,SANS_SERIF,True,train
1020,ProzaLibre-SemiBoldItalic,SANS_SERIF,True,train
1021,ProzaLibre-Regular,SANS_SERIF,True,train
1022,ProzaLibre-MediumItalic,SANS_SERIF,True,train
1023,ProzaLibre-Bold,SANS_SERIF,True,train
1024,MontserratAlternates-Thin,SANS_SERIF,True,train
1025,MontserratAlternates-ExtraLightItalic,SANS_SERIF,True,train
1026,MontserratAlternates-ExtraBoldItalic,SANS_SERIF,True,train
1027,MontserratAlternates-Bold,SANS_SERIF,True,train
1028,MontserratAlternates-Regular,SANS_SERIF,True,train
1029,MontserratAlternates-ThinItalic,SANS_SERIF,True,train
1030,MontserratAlternates-SemiBoldItalic,SANS_SERIF,True,train
1031,MontserratAlternates-BoldItalic,SANS_SERIF,True,train
1032,MontserratAlternates-ExtraLight,SANS_SERIF,True,train
1033,MontserratAlternates-SemiBold,SANS_SERIF,True,train
1034,MontserratAlternates-ExtraBold,SANS_SERIF,True,train
1035,MontserratAlternates-LightItalic,SANS_SERIF,True,train
1036,MontserratAlternates-Medium,SANS_SERIF,True,train
1037,MontserratAlternates-Italic,SANS_SERIF,True,train
1038,MontserratAlternates-Black,SANS_SERIF,True,train
1039,MontserratAlternates-Light,SANS_SERIF,True,train
1040,MontserratAlternates-BlackItalic,SANS_SERIF,True,train
1041,MontserratAlternates-MediumItalic,SANS_SERIF,True,train
1042,Rye-Regular,DISPLAY,True,train
1043,NewsCycle-Bold,SANS_SERIF,True,train
1044,NewsCycle-Regular,SANS_SERIF,True,train
1045,Mirza-Bold,DISPLAY,True,train
1046,Mirza-SemiBold,DISPLAY,True,train
1047,Mirza-Regular,DISPLAY,True,train
1048,Mirza-Medium,DISPLAY,True,train
1049,Voltaire-Regular,SANS_SERIF,True,train
1050,DaysOne-Regular,SANS_SERIF,True,train
1051,BrunoAceSC-Regular,SANS_SERIF,True,train
1052,AdventPro-Medium,SANS_SERIF,True,train
1053,AdventPro-ExtraLight,SANS_SERIF,True,train
1054,AdventPro-Bold,SANS_SERIF,True,train
1055,AdventPro-SemiBold,SANS_SERIF,True,train
1056,AdventPro-Thin,SANS_SERIF,True,train
1057,AdventPro-Light,SANS_SERIF,True,train
1058,AdventPro-Regular,SANS_SERIF,True,train
1059,HindVadodara-Medium,SANS_SERIF,True,train
1060,HindVadodara-Bold,SANS_SERIF,True,train
1061,HindVadodara-SemiBold,SANS_SERIF,True,train
1062,HindVadodara-Regular,SANS_SERIF,True,train
1063,HindVadodara-Light,SANS_SERIF,True,train
1064,AreYouSerious-Regular,HANDWRITING,True,train
1065,Yaldevi[wght],SANS_SERIF,True,train
1066,RedHatText-Italic[wght],SANS_SERIF,True,train
1067,RedHatText[wght],SANS_SERIF,True,train
1068,Playball-Regular,DISPLAY,True,train
1069,BenchNine-Bold,SANS_SERIF,True,train
1070,BenchNine-Regular,SANS_SERIF,True,train
1071,BenchNine-Light,SANS_SERIF,True,train
1072,Forum-Regular,DISPLAY,True,train
1073,Alice-Regular,SERIF,True,train
1074,ModernAntiqua-Regular,DISPLAY,True,train
1075,NothingYouCouldDo,HANDWRITING,True,train
1076,Fuggles-Regular,HANDWRITING,True,train
1077,LifeSavers-Regular,DISPLAY,True,train
